,id,name,latitude,longitude,number_of_bikes
138,263aaf39e6737ddc5cb3e161c79a2302,Brahms Ave / Finch Ave E,43.79236326442992,-79.35836318028717,19
139,26c9984a5ec1ea1e7edb7fafa8d1e6f7,King St W / Crawford St,43.6417852,-79.4131148,23
140,26edc0f88e4e012ab0d9930c725d5fba,Isabella St / Church St,43.66834,-79.38235,27
141,27b5be1cbbce21764b224e820c7f888c,Durie St / Dundas St W,43.665523,-79.484892,23
142,27e30ff4939a3992db39e99af9dfe172,Trent Ave / Danforth Ave,43.689293,-79.295895,23
143,2800c972b83e435cecefcdb95078e435,Marilyn Bell Park Tennis Court,43.633537,-79.437461,27
144,280ce4cfc4b101f3a8a08843e4a258d6,Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,15
145,2889401ba82ea091cd0d1ecff6ab5c56,Joe Shuster Way / King St W ,43.64039672322004,-79.4237424131447,19
146,2904c293698dc248004b5f43e1a28f80,Sherbourne St / Wellesley St E,43.6673,-79.374,31
147,290fef611ea995910eb2d8e6dee93350,Lower Jarvis St / The Esplanade,43.6478206,-79.3704721,14
148,29f79e7d7e4440c7554a3f3e3bae4f88,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,16
149,2a56ebfe680276d40a591ef322457f70,135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,16
150,2a68f05a1657d2a5537dac257cc1d734,15 Price St ,43.6799477790745,-79.38994813684005,15
151,2aedc79960408d746f43fb1d91bf7030,Jarvis St / Dundas St E,43.657266,-79.374756,27
152,2b2e280f715656fb630b59ec9a6d1e0c,Orde St / McCaul St,43.6580442,-79.3927404,15
153,2b4c28b78247a24037bcff2ad8fcc605,University Ave / King St W - SMART,43.6477785,-79.3847928,24
154,2bd06fb77a7734b960080c30c16fb190,Islington Ave / Finch Ave W,43.74445257991756,-79.56824985721664,15
155,2c32c6a2dbfb666ee51150ce15e1b9a5,The Queensway at South Kingsway,43.63632,-79.47307,23
156,2c429e9e841e213f875d2116cfab30e9,Roehampton Ave / Bayview Ave,43.711751,-79.378615,27
157,2ccced1dbd563c3842d265b565098de1,Phoebe St / Spadina Ave,43.650033,-79.396555,33
158,2cf04264d349d318f68193444d9c5ad0,Yonge St / Lawrence Ave E,43.7254665,-79.40115449999999,23
159,2d1d89a437dbc32634ba928744831860,Bay St / Bloor St W (East Side),43.66943,-79.38915,15
160,2d9b09d13ca6695d876ff08853469a24,Symington Ave / Dupont St,43.665538,-79.451263,15
161,2e10ae28a97f89714987729c5d93ebfd,St. Clair Ave W / Osler St,43.6739269797493,-79.46068479021301,11
162,2e19220f1e64559e88f3c48b3ebf2916,Bridgman Ave / Bathurst St,43.674444,-79.414722,15
163,2e3ac17daffcf4eac85216832f31a3b5,Davenport Rd / Bedford Rd,43.674446,-79.398331,15
164,2e6dd23e4dee03087c5e80f76cda5519,Queen St W / Bay St (City Hall),43.6517925,-79.38269509999999,23
165,2f10b834460965288d419163586f3f89,University Ave / College St (East),43.65995,-79.38964,20
166,2fe7046cdd8cc701a2240f52b9e8555f,York University (Glendon Campus) - SMART,43.727365488246306,-79.3814254607724,16
167,301eed3e90079c5aacccf8f091da64b3,Simcoe St / Elm St,43.656038841714505,-79.38970387738495,11
168,30c56fdec4d36ab0124297d6f0101490,Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,36
169,3122a652737603e022b2caaae2825ecd,Bayview Ave / Finch Recreational Trail,43.789068698639504,-79.39315096004944,19
170,316d458068c46859ff35dd87578ac14d,Keele St / Lloyd Ave,43.67115532642577,-79.46701597756929,15
171,323fcb6c6ca04b1cc1ca2b361adb3217,Viewmount Park,43.70735572654095,-79.43723072209013,15
172,32444ff0455dc908ae997a28379ebe7d,Housey St / Dan Leckie Way,43.63811,-79.397877,27
173,328543a3291fd54d24971108f96bb053,Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,20
174,32915794131e41a355ebee1ab9ad78fb,Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,20
175,32960a552834227231a5394c338fb4bf,Slan Ave / Scarborough Golf Club Rd,43.77327261711258,-79.21971485277862,15
176,32b476b39dacc23dda545c39ffb549cc,Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,12
177,32b49dd6da901eac98ec2028f4447d71,85 Lee Ave,43.6700692,-79.2971326,26
178,32cbcb81d2d04a16ed2d1d2ed35220d4,King St W / Portland St - SMART,43.644395,-79.40065430000001,32
179,32f618847043b8011f80333b5e7ea8b3,Toronto Eaton Centre (Yonge St) - SMART,43.655431,-79.380653,20
180,33ec997a2ea47262cb99a5918f15691a,Sussex Ave / St George St,43.665304278965365,-79.39938263802871,15
181,34a94fc072487f4615b041d2b7a6c659,Baldwin St / Henry St,43.6560758,-79.393259,15
182,34ec939e3772ab6f8f9be4ae0c98f3a2,Donlands Subway Station,43.681114,-79.3373885,15
183,354bb1fec6b6bcc47b0f2632de2f270e,York St / Lake Shore Blvd W,43.641952,-79.380723,19
184,3586c281a5706af58a3e4d5d637e7bfc,Weston Rd / Sheppard Ave W,43.73262849415089,-79.5381993243286,15
185,359ce82fbe9d1e9e9962321e62f6066f,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,15
186,35e6b900925c8fbcb2d017597e746a81,Leslie Subway Station,43.77037892370793,-79.36702734195678,15
187,362434f77c0efeb50a5deb4ca9ce8969,Pharmacy Ave / Teesdale Pl,43.697356080874876,-79.28528711019696,19
188,3654ed1bd8516fddd2364502084cd01b,Lindylou Rd / Lanyard Rd,43.74845421407306,-79.5504039969242,15
189,365a0f49bf1c9b42c35b531688b9fed9,Blake St / Boultbee Ave,43.672453,-79.338259,15
190,3681db49ef2d337bfb035ab1ac33e2c2,Granby St / Church St - SMART,43.6614605,-79.37894570000002,24
191,36c244827ed3bd3ee314ab1d2781db2a,Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,19
192,36e4390d0f95acd44b5c85f49217d360,Spadina Ave / Sullivan St,43.65082785552666,-79.39698099821702,23
193,3754aff9599513c7ba4e4649ea3818dd,Jarvis St / Carlton St,43.66207,-79.37617,15
194,3787fcc5d521f5f5a12d7c15d8ce4d51,Mallaby Park ,43.706191092397106,-79.53262795581969,15
195,37b46f2e5573e69f5451dc09c0c14660,Bathurst St / Lennox St,43.663808,-79.410491,19
196,37b4b6822fe05d33d64c2a174a23a4ee,1303 Yonge St - SMART,43.6846177,-79.39245919999999,15
197,37c32c09c594b83701b3b8f6e32db605,Palmerston Ave / Vermont Ave,43.671389,-79.416389,15
198,3863dd61e00ea66710f789ae4297a2d2,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,19
199,38d3408bfdf5a321a15ae61358af4aac,York St / Queens Quay W,43.640132,-79.380464,57
200,3910976dfd5888140602a42b14637022,Gamble Ave / Broadview Ave,43.689211,-79.35438,23
201,391a459d2ca6e2c8eefa90736b2e9142,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,12
202,3941abb3cf0f4b0fed316e0a2ed7452f,St Columba Pl / St Clair Ave E,43.70567,-79.310554,19
203,39f55e6a94e610893f32c72f4601cdef,Bloor St W / Huron St,43.667023,-79.401805,27
204,3a6af188aaae40c51d6ec8d22cd104d2,Bloor St W / Gladstone Ave - SMART,43.6602021,-79.4342726,12
205,3a73375ca8c3f3fc85b7b32ec080be5e,Greenwood Ave / Sammon Ave,43.68698672516659,-79.33478198280334,11
206,3afcafcea065abef8dd2beafcb78c7bd,High Park Ave / Dundas St W,43.6653032,-79.4701178,15
207,3b0ffacf6f626924fb61b0d6d578561a,Sunnybrook Park,43.720233,-79.362092,27
208,3b2853992a1700739c8fa569801e1c48,Danforth Ave / Ellerbeck St,43.677076,-79.35667,14
209,3b485775d2f902b5529790c4047dff24,1612 Danforth Ave ,43.68370788065334,-79.32262453633884,15
210,3b8388fb5baa35cdc62ea9a8f7bb5fd7,Finch Ave W / Wilmington Ave,43.77060244428048,-79.45997589178772,19
211,3ba9b248dbb5b0ffa30ec9807f14476c,Charles St E / Jarvis St - SMART,43.669604,-79.381171,20
212,3bfbe7d9edced07da6dd283495fb8170,Queens Quay / Yonge St,43.641646,-79.375308,47
213,3c09457be4ce775b0cd37e8b073f4ee8,HTO Park West,43.63737145931921,-79.38976958703309,31
214,3c7236f4a281b569b57f40c0bf29c4ca,University of Toronto Scarborough,43.7842419,-79.1849889,16
215,3c85f738ad60e03252f1d62fec2f34d6,King St W / Douro St,43.640885,-79.416379,11
216,3d13e32b7336dbe2c6b2190df3ba8600,Lower Jarvis St / Queens Quay E,43.64422,-79.36927,18
217,3d2b767a1af0d75059d1fd78079d1216,Keele St / Catford Rd,43.75919330632997,-79.49001046850891,15
218,3d38244751d3c44617f0066466a3bc7d,Brick Works,43.683884,-79.36647,22
219,3d71c9ff5bcbaad794a49115e11786e3,Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,15
220,3db3e716f02f4035f98fc1f07a0fecd9,Kingston Rd / Glen Everest Rd,43.697490048103,-79.25655146462776,15
221,3dbd618c6fba43406cf1b8cf9165647b,Queens Quay E / Lower Jarvis St ,43.64392767366328,-79.3687301736982,23
222,3dccd3e0582902632ace3ada9481abb0,Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,19
223,3df6faa6bc73f93a672aa3e3004434f0,Rushton Rd / St Clair Ave W,43.68114,-79.4277,10
224,3e05658e4bcad33e9d606744235dadcc,Queen St E / Alton Av,43.663912,-79.327987,19
225,3e8872d5357f08ebd702863ab04e913e,Torresdale Ave / Antibes Dr,43.77953,-79.45233,15
226,3edc56dee059aa412173733cc64004e9,Cherry St / Polson St,43.643320932767004,-79.35120948518066,23
227,3f09d8a338e4501752365339f106a1ff,Tangiers Rd / Finch Ave W,43.76376964130183,-79.48809242593383,15
228,3fb25e1f9d316b89f4ff0ff777fd3a53,Adelaide St W / Bay St (South),43.65011637593798,-79.37953068860327,15
229,3ffc414d28a17036998674a120f66c6f,Fort York Blvd / Garrison Rd,43.637381,-79.406112,15
230,403e402f8bb6453c515cfa5f3e8de676,Niagara St / Queen St W ,43.64572868466845,-79.40990680181771,11
231,4077bf05c083f50d09a52487fd234193,Cariboo Ave / Railpath Trail,43.66666667,-79.45833333333334,19
232,407c8fc47ef8f822af020375a4f7dc79,Davisville Ave / Pailton Cres,43.69933,-79.39199,19
